ID, Enemies, Tag
United States,114,
Canada,113,
France,103,
India,101,
Australia,99,
Italy,97,
Greece,95,
New Zealand,94,
Belgium,94,
Denmark,93,
Turkey,91,
United Kingdom,84,
Albania,82,
Poland,81,
Bulgaria,80,
Luxembourg,79,
Norway,78,
El Salvador,78,
Romania,78,
Ethiopia,78,
China,72,
Spain,71,
South Korea,70,
Germany,70,
Malaysia,67,
Ukraine,67,
Singapore,66,
Portugal,66,
Azerbaijan,65,
Sweden,64,
Jordan,57,
Montenegro,56,
Liberia,56,
Hungary,54,
Finland,52,
Armenia,52,
Croatia,52,
Sudan,52,
Saudi Arabia,52,
San Marino,52,
Soviet Union,52,
Mongolia,51,
Austria,51,
Georgia,51,
Brazil,51,
Lithuania,50,
Afghanistan,50,
United Arab Emirates,50,
Tonga,50,
Switzerland,50,
Slovenia,50,
Slovakia,50,
Macedonia,50,
Latvia,50,
Iceland,50,
Estonia,50,
Czech Republic,50,
Bosnia and Herzegovina,50,
Bahrain,50,
Egypt,50,
Syria,49,
Haiti,49,
Indonesia,48,
Argentina,48,
Venezuela,48,
Uruguay,48,
Ecuador,48,
Bolivia,48,
Mexico,48,
Paraguay,47,
Peru,47,
Philippines,47,
Cuba,47,
Guatemala,47,
Nicaragua,47,
Costa Rica,47,
Panama,47,
Lebanon,46,
Colombia,46,
Honduras,46,
Dominica,45,
Russia,44,
Thailand,41,
Iraq,40,
Japan,39,
Iran,39,
Uganda,37,
Kenya,37,
Somalia,37,
Turkmenistan,36,
Tajikistan,36,
Kyrgyzstan,36,
Kazakhstan,36,
Seychelles,36,
Djibouti,36,
Morocco,23,
Mali,19,
Serbia,18,
Democratic Republic of the Congo,17,
Guinea,16,
Republic of Ireland,16,
Tunisia,16,
Ghana,16,
Republic of the Congo,16,
Pakistan,16,
Qatar,14,
Chad,12,
Niger,12,
Algeria,12,
Benin,10,
Kuwait,9,
Cameroon,9,
Libya,8,
North Korea,6,
Burundi,6,
Saint Lucia,5,
Jamaica,5,
Barbados,5,
Antigua and Barbuda,5,
Burkina Faso,5,
Senegal,5,
Angola,4,
Tanzania,4,
Comoros,4,
Yemen,3,
Vietnam,3,
Israel,2,
Rwanda,2,
Source,1,
Target,1,
Eritrea,1,
Kingdom of the Netherlands,1,
Nepal,1,
Chile,1,
Mauritania,1,
Nazi Germany,1,
Sierra Leone,1,
Guinea-Bissau,1,
